x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
-2.62858,-2.27764,0.28774853687793817,0.5,0.3,Necrotic
-3.5759,-1.38972,0.28574428626356413,0.5,0.3,Necrotic
-0.953285,0.511593,0.2863139713216949,0.5,0.3,Necrotic
-0.0998978,-0.0217125,0.28739870859889716,0.5,0.3,Necrotic
-2.40878,-0.0515866,0.285623936685049,0.5,0.3,Necrotic
-7.12735,2.43644,0.27835900518802364,0.5,0.3,Necrotic
3.86382,13.6053,0.4828646491912517,0.5,0.3,Viable tumour cell
-3.57107,-2.84332,0.2875310763379417,0.5,0.3,Necrotic
-0.0861845,-0.209963,0.2876045588985459,0.5,0.3,Necrotic
3.25852,6.4629,0.27782045636148667,0.5,0.3,Necrotic
-5.48488,-0.902427,0.2824613521830355,0.5,0.3,Necrotic
3.21531,-1.90068,0.29195710176929385,0.5,0.3,Necrotic
-0.650252,-0.491989,0.28748711214593864,0.5,0.3,Necrotic
-7.56674,-13.1997,0.5163257519558047,0.5,0.3,Viable tumour cell
14.7167,8.56998,0.6957939026287955,0.5,0.3,Viable tumour cell
-0.879045,-0.345501,0.28718127168066054,0.5,0.3,Necrotic
0.0372882,0.323032,0.28713339512837355,0.5,0.3,Necrotic
-0.26902,0.156234,0.2871159556772635,0.5,0.3,Necrotic
-10.4754,9.19924,0.45890252518426755,0.5,0.3,Viable tumour cell
0.328066,-0.0471987,0.2877113033138146,0.5,0.3,Necrotic
-6.19163,-11.9958,0.4110616853808736,0.5,0.3,Viable tumour cell
0.374591,0.735557,0.2868860611280275,0.5,0.3,Necrotic
10.2755,4.74007,0.3298652508759824,0.5,0.3,Viable tumour cell
-0.0845434,-0.254735,0.2876534511091231,0.5,0.3,Necrotic
3.2219,1.62165,0.28722913700043806,0.5,0.3,Necrotic
4.69497,0.059396,0.2909625093571589,0.5,0.3,Necrotic
-11.3838,3.14366,0.34698071145464005,0.5,0.3,Viable tumour cell
