x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
2.86,526.43,0,0,0,0,CD8
2.59,573.32,0,0,0,0,CD8
9.26,596.48,0,0,0,0,CD8
2.55,842.17,0,0,0,0,CD8
7.02,1044.55,0,0,0,0,CD8
8.77,1060.39,1,0,0,0,CD8
3.04,1294.57,1,0,0,0,CD8
4.33,1430.99,1,0,0,0,CD8
4.73,1831.45,0,0,0,0,CD8
4.41,1931.29,0,0,0,0,CD8
3.03,2210.00,0,0,0,0,CD8
7.62,2235.99,0,0,0,0,CD8
9.93,2452.98,1,0,0,0,CD8
5.12,2853.08,1,0,1,0,CD8
4.66,3206.34,1,0,0,0,CD8
3.02,3261.92,1,0,0,0,CD8
3.30,3320.19,1,0,0,0,CD8
3.72,3411.46,1,0,0,0,CD8
9.42,4009.82,1,0,0,0,CD8
7.36,4055.71,1,0,0,0,CD8
8.32,4489.62,1,0,0,0,CD8
9.66,1599.00,1,0,0,0,CD8
9.54,3789.00,0,0,0,0,CD8
10.13,1908.79,0,0,0,0,CD8
13.15,3479.46,1,0,0,0,CD8
16.14,1351.07,1,0,0,0,CD8
15.54,2479.70,1,0,0,0,CD8
16.41,1378.06,1,0,0,0,CD8
13.35,853.50,0,0,0,0,CD8
19.29,1004.59,0,0,0,0,CD8
14.74,1708.33,1,0,0,0,CD8
14.86,1511.88,1,0,0,0,CD8
15.80,874.40,0,0,0,0,CD8
19.49,1855.88,0,0,0,0,CD8
18.51,2200.74,0,0,0,0,CD8
19.65,2219.78,0,0,0,0,CD8
22.55,2261.66,0,0,0,0,CD8
23.68,578.25,0,0,0,0,CD8
23.02,1940.57,0,0,0,0,CD8
22.40,752.40,0,0,0,0,CD8
27.23,1074.39,1,0,0,0,CD8
31.99,4316.82,1,0,0,0,CD8
28.05,729.80,0,0,0,0,CD8
30.10,1671.54,1,0,0,0,CD8
30.84,2005.37,0,0,0,0,CD8
26.62,2287.51,0,0,0,0,CD8
27.38,4356.26,1,0,0,0,CD8
30.39,775.27,0,1,0,0,CD8
32.23,990.44,0,0,0,0,CD8
33.50,3858.91,0,0,0,0,CD8
34.72,2107.85,0,0,0,0,CD8
38.77,940.77,1,0,0,0,CD8
43.99,876.78,0,0,0,0,CD8
48.32,1633.78,1,0,0,0,CD8
38.15,2042.49,0,0,0,0,CD8
43.26,1802.77,0,0,0,0,CD8
41.83,3300.21,0,0,0,0,CD8
40.49,2292.65,0,0,0,0,CD8
50.24,626.24,0,0,0,0,CD8
43.35,3408.14,1,0,0,0,CD8
47.64,561.64,0,0,0,0,CD8
46.53,925.02,0,0,0,0,CD8
46.74,1820.80,0,0,0,0,CD8
49.12,3888.64,0,0,0,0,CD8
50.37,728.53,0,0,0,0,CD8
51.97,859.96,0,0,0,0,CD8
48.31,2193.04,0,0,0,0,CD8
49.42,2983.23,1,0,0,0,CD8
51.39,1852.27,0,0,0,0,CD8
54.21,749.42,0,0,0,0,CD8
58.97,2050.04,0,0,0,0,CD8
54.39,3977.53,1,0,0,0,CD8
57.41,1008.17,0,0,0,0,CD8
58.80,1667.30,1,0,0,0,CD8
56.22,2126.74,0,0,0,0,CD8
58.81,4010.89,1,0,0,0,CD8
61.81,4168.37,1,0,0,0,CD8
55.90,715.60,0,0,0,0,CD8
56.71,482.17,1,0,0,0,CD8
60.17,701.28,0,0,0,0,CD8
57.74,1603.18,1,0,0,0,CD8
63.20,1508.74,1,0,0,0,CD8
58.73,2026.00,0,0,0,0,CD8
61.74,1039.90,0,0,0,0,CD8
59.89,4349.53,1,0,0,0,CD8
67.32,671.08,0,0,0,0,CD8
69.38,1077.32,1,0,0,0,CD8
69.28,1121.12,1,0,0,0,CD8
68.13,2195.83,0,0,0,0,CD8
66.53,641.93,0,0,0,0,CD8
66.39,1327.88,1,0,0,0,CD8
70.95,1619.00,1,0,0,0,CD8
71.56,1645.90,1,0,0,0,CD8
69.35,4458.26,1,0,0,0,CD8
68.14,579.91,0,0,0,0,CD8
70.91,948.36,1,0,0,0,CD8
72.65,4338.23,1,0,0,0,CD8
72.52,1049.01,0,1,0,0,CD8
76.37,4362.00,1,0,0,0,CD8
77.63,634.38,0,0,0,0,CD8
75.44,852.92,0,0,0,0,CD8
73.79,1982.29,0,0,0,0,CD8
75.97,2804.57,1,0,0,0,CD8
81.55,1140.51,1,0,0,0,CD8
83.32,2766.49,1,0,0,0,CD8
81.63,729.13,0,0,0,0,CD8
83.38,817.11,0,0,0,0,CD8
82.20,4389.21,1,0,0,0,CD8
86.46,669.92,0,0,0,0,CD8
86.30,1002.50,0,0,0,0,CD8
85.17,1222.80,1,0,0,0,CD8
86.85,2188.59,0,0,0,0,CD8
88.21,3874.64,0,0,0,0,CD8
89.99,1897.44,0,0,0,0,CD8
88.48,2115.90,0,0,0,0,CD8
87.83,2131.21,0,0,0,0,CD8
91.55,2278.01,0,0,0,0,CD8
89.24,4446.86,1,0,0,0,CD8
93.25,2055.97,0,0,0,0,CD8
91.70,2832.70,1,0,0,0,CD8
92.99,568.64,0,0,0,0,CD8
96.43,616.85,0,0,0,0,CD8
96.53,1944.67,0,0,0,0,CD8
98.51,590.68,0,0,0,0,CD8
96.24,958.77,0,0,0,0,CD8
98.24,1709.41,0,0,0,0,CD8
101.11,3793.43,1,0,0,0,CD8
103.50,721.11,0,0,0,0,CD8
104.08,873.68,0,0,0,0,CD8
102.86,927.91,0,0,0,0,CD8
97.61,2161.26,0,0,1,0,CD8
106.65,2020.49,1,0,0,0,CD8
101.72,2067.65,0,0,0,0,CD8
103.16,3450.45,1,0,0,0,CD8
100.38,685.51,0,0,0,0,CD8
103.16,652.95,0,0,0,0,CD8
109.77,2003.64,1,1,1,0,CD8
104.60,2312.33,0,0,0,0,CD8
110.30,91.58,1,0,1,0,CD8
109.70,998.36,0,0,0,0,CD8
109.73,3872.77,0,0,0,0,CD8
108.50,3955.14,1,0,0,0,CD8
110.13,3204.74,1,0,0,0,CD8
115.77,3930.67,0,0,0,0,CD8
117.98,644.36,0,1,0,0,CD8
115.31,1602.24,1,0,0,0,CD8
121.39,401.02,1,0,0,0,CD8
120.76,3199.16,1,0,0,0,CD8
117.98,1906.66,0,0,0,0,CD8
119.15,1539.40,1,0,0,0,CD8
125.95,526.73,1,0,0,0,CD8
125.05,570.38,0,0,0,0,CD8
127.35,1564.53,1,0,0,0,CD8
128.03,1087.94,1,0,0,0,CD8
127.29,1998.79,1,1,0,0,CD8
128.92,2824.75,1,0,0,0,CD8
129.50,545.00,0,0,0,0,CD8
129.76,832.48,0,0,0,0,CD8
134.56,582.08,0,0,0,0,CD8
