x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
2.59,67.20,0,0,0,0,CD8
7.99,106.15,0,1,0,0,CD8
3.25,373.03,0,0,0,0,CD8
8.40,480.41,0,0,0,0,CD8
3.93,572.57,0,0,0,0,CD8
6.29,828.71,1,0,0,0,CD8
3.00,2351.50,0,0,0,0,CD8
4.34,2464.04,0,1,0,0,CD8
6.62,2707.62,0,0,0,0,CD8
7.56,2723.10,0,0,0,0,CD8
8.34,2977.21,1,0,0,0,CD8
6.14,2998.78,1,0,0,0,CD8
4.01,3918.63,1,0,1,1,CD8
3.12,4222.40,0,0,0,1,CD8
10.06,3015.26,1,0,0,0,CD8
9.63,1619.07,1,0,0,0,CD8
12.98,3068.88,1,0,0,0,CD8
12.35,3109.25,1,0,0,0,CD8
10.95,2691.01,0,0,0,0,CD8
16.14,2668.21,0,0,0,0,CD8
16.77,568.87,0,0,0,0,CD8
15.53,2255.53,0,0,0,0,CD8
20.23,2378.54,0,0,0,0,CD8
15.56,2953.21,1,0,0,0,CD8
15.91,3136.31,1,1,0,0,CD8
16.92,2109.92,1,0,0,0,CD8
17.69,2505.78,0,0,0,0,CD8
26.82,2899.95,0,0,0,0,CD8
16.46,2148.64,0,0,0,0,CD8
21.73,638.63,0,0,0,0,CD8
20.03,2083.25,1,0,0,0,CD8
19.67,2525.72,0,0,0,0,CD8
19.72,2830.18,0,0,0,0,CD8
18.47,3051.74,1,0,0,0,CD8
17.82,3162.04,1,0,0,0,CD8
24.58,2992.52,1,0,0,0,CD8
24.82,118.86,0,0,0,0,CD8
22.20,2712.56,0,0,0,0,CD8
25.21,88.22,0,0,0,0,CD8
22.52,1752.01,1,0,1,0,CD8
24.27,2933.66,1,0,0,0,CD8
24.47,4128.44,0,0,1,1,CD8
23.12,1944.31,1,0,0,0,CD8
28.48,2020.28,1,0,0,0,CD8
24.04,2570.01,0,0,0,0,CD8
24.36,2686.75,1,0,0,0,CD8
35.73,2811.26,1,0,0,0,CD8
29.21,2796.12,0,0,0,0,CD8
29.40,62.72,0,0,0,0,CD8
31.00,1960.74,1,0,0,0,CD8
28.16,3168.80,1,0,0,0,CD8
31.03,2508.51,0,0,0,0,CD8
39.36,2684.34,0,0,0,0,CD8
33.84,2701.86,0,0,0,0,CD8
35.56,2827.48,0,0,0,0,CD8
34.04,745.94,1,0,0,0,CD8
33.47,3908.16,1,0,1,0,CD8
32.86,2118.44,1,0,0,0,CD8
39.03,37.19,0,0,0,0,CD8
39.55,244.05,0,0,0,0,CD8
41.15,2726.20,0,0,0,0,CD8
40.20,2761.26,0,0,0,0,CD8
35.43,3287.78,1,0,0,0,CD8
41.69,782.34,1,0,0,0,CD8
40.81,2060.45,1,0,0,0,CD8
39.62,2177.34,0,0,0,0,CD8
41.78,2295.85,0,0,0,0,CD8
43.65,2778.66,0,0,0,0,CD8
